
== [3] mknapcb1 ==
instance         status          time(s)        nodes primal-dual-integral
mknapcb1_0       solved            2.833        62091               24.986
mknapcb1_1       solved            1.234        23196               13.629
mknapcb1_2       solved            4.734       101242               23.055
mknapcb1_3       solved            4.827       121179               23.170
mknapcb1_4       solved            3.464        96429               31.780
mknapcb1_5       solved            1.634        41364               31.528
mknapcb1_6       solved            1.302        37151               30.808
mknapcb1_7       solved            4.335        97655               46.264
mknapcb1_8       solved            3.287        80160               27.354
mknapcb1_9       solved            2.260        74274               37.998
mknapcb1_10      solved            0.559        14968               12.151
mknapcb1_11      solved            1.568        43967               46.033
mknapcb1_12      solved            9.339       236925               50.807
mknapcb1_13      solved            2.983        76115               45.602
mknapcb1_14      solved            2.101        52886                4.539
mknapcb1_15      solved            0.440        10114               16.103
mknapcb1_16      solved            0.375         8560                1.394
mknapcb1_17      solved            4.218       112771               24.755
mknapcb1_18      solved            0.907        31928               33.855
mknapcb1_19      solved            1.285        24759                3.999
mknapcb1_20      solved            0.558        13241                3.076
mknapcb1_21      solved            0.357         8713                6.841
mknapcb1_22      solved            1.268        30323                4.492
mknapcb1_23      solved            1.270        35975                7.367
mknapcb1_24      solved            0.891        24828                8.150
mknapcb1_25      solved            2.656        72347               13.621
mknapcb1_26      solved            0.872        26840               12.386
mknapcb1_27      solved            0.687        14970                7.853
mknapcb1_28      solved            0.392         8769                3.592
mknapcb1_29      solved            2.310        37898                8.190
--               geomean           1.565    37866.123               14.103
